"Ticker","Nome","Negócios","Última (R$)","Variação"
"COGN3","Cogna","85.816.000","1,37","+3,79%"
"HAPV3","Hapvida","45.982.600","2,29","+0,00%"
"BBDC4","Banco Bradesco","45.727.800","11,30","-0,79%"
"B3SA3","B3","45.091.300","10,37","+0,19%"
"ABEV3","Ambev","44.514.500","10,87","-1,63%"
"ANIM3","Ânima Educação","23.015.300","1,85","+10,12%"
"VALE3","Vale","20.520.600","53,03","+1,36%"
"CSNA3","Siderúrgica Nacional","19.736.100","8,26","+5,09%"
"PETR4","Petrobras","16.216.500","36,64","-0,52%"
"RAIZ4","Raízen","15.674.800","1,89","+1,61%"
"USIM5","Usiminas","15.514.400","5,23","+1,55%"
"MGLU3","Magazine Luiza","14.457.500","6,37","+1,27%"
"CSAN3","Cosan","12.929.900","7,56","-0,13%"
"CVCB3","CVC","12.670.900","1,78","-2,73%"
"CRFB3","Carrefour Brasil","12.215.200","5,80","-2,36%"
"ITSA4","Itaúsa","12.191.800","9,15","-0,22%"
"CPLE6","Copel","11.719.900","9,20","+0,33%"
"POMO4","Marcopolo","11.274.700","8,32","-1,19%"
"LREN3","Lojas Renner","11.096.400","13,17","+1,31%"
"ASAI3","Assaí","10.904.000","6,15","-0,81%"
"IFCM3","Infracommerce","10.053.500","0,08","+0,00%"
"MRVE3","MRV","9.994.100","5,18","+0,97%"
"BBAS3","Banco do Brasil","9.081.200","26,62","-0,37%"
"PCAR3","Grupo Pão de Açúcar","8.788.000","2,67","-1,48%"
"ITUB4","Itaú Unibanco","8.746.000","32,46","-0,25%"
"TIMS3","TIM","8.698.300","15,08","-2,08%"
"BEEF3","Minerva","8.614.900","4,44","-0,89%"
"PETZ3","Petz","8.444.300","4,70","+1,95%"
"GGBR4","Gerdau","8.425.700","17,56","+0,57%"
"AZUL4","Azul","8.378.600","4,51","-1,74%"
"CMIG4","Cemig","7.921.600","10,50","-0,76%"
"LOGG3","LOG CP","7.421.200","16,55","-7,85%"
"SIMH3","Simpar","7.260.900","3,25","-2,69%"
"CCRO3","Grupo CCR","7.072.500","10,80","+0,00%"
"BBDC3","Banco Bradesco","7.012.000","10,42","-0,57%"
"GOLL4","GOL","6.904.100","1,71","-0,58%"
"ENEV3","Eneva","6.842.500","10,81","+0,09%"
"HYPE3","Hypera","6.822.200","18,40","+0,33%"
"MOVI3","Movida","6.780.800","3,72","-1,33%"
"RENT3","Localiza","6.545.700","30,32","+0,97%"
"JBSS3","JBS","6.504.400","33,64","-2,04%"
"LJQQ3","Lojas Quero-Quero","6.363.500","2,15","+5,91%"
"RAIL3","Rumo","6.301.200","16,70","-0,48%"
"BRFS3","BRF","6.152.300","21,88","+0,60%"
"FLRY3","Fleury","5.952.100","11,58","+1,22%"
"BRAV3","3R Petroleum","5.937.600","22,66","-0,96%"
"LWSA3","Locaweb","5.881.900","3,21","-2,73%"
"BPAC11","Banco BTG Pactual","5.800.100","30,99","+0,23%"
"VAMO3","Grupo Vamos","5.546.200","4,56","-2,15%"
"GOAU4","Metalúrgica Gerdau","5.513.600","9,81","+0,31%"
"RDOR3","Rede D'Or","5.297.700","28,01","+1,16%"
"EQTL3","Equatorial Energia","5.191.800","28,37","+0,04%"
"CPLE3","Copel","4.961.900","8,32","+0,48%"
"ELET3","Eletrobras","4.957.800","34,97","+0,26%"
"PRIO3","PetroRio","4.947.300","41,15","-0,80%"
"SLCE3","SLC Agrícola","4.845.000","17,83","-1,60%"
"VBBR3","Vibra Energia","4.811.500","17,59","-0,51%"
"RADL3","RaiaDrogasil","4.796.000","20,78","-0,53%"
"WEGE3","WEG","4.763.100","57,87","+1,08%"
"YDUQ3","YDUQS","4.654.400","9,25","-0,54%"
"MRFG3","Marfrig","4.622.000","15,65","+0,06%"
"PETR3","Petrobras","4.553.600","40,63","-0,29%"
"PLPL3","Plano&Plano","4.544.900","10,17","+9,00%"
"CXSE3","Caixa Seguridade","4.544.400","14,76","+2,15%"
"AURE3","Auren Energia","4.444.600","7,60","-1,04%"
"CYRE3","Cyrela","4.438.700","18,70","+0,86%"
"ONCO3","Oncoclínicas","4.435.500","2,27","+3,65%"
"CEAB3","C&A","4.380.500","8,79","+1,97%"
"CMIN3","CSN Mineração","4.373.700","5,15","-1,34%"
"EMBR3","Embraer","4.302.400","60,97","-1,23%"
"GMAT3","Grupo Mateus","4.028.000","6,30","+0,32%"
"AZEV4","Azevedo & Travassos","3.765.900","1,23","+6,96%"
"RCSL3","Recrusul","3.666.600","4,01","-0,50%"
"BBSE3","BB Seguridade","3.627.100","37,83","-0,50%"
"GFSA3","Gafisa","3.623.200","1,33","+1,53%"
"NTCO3","Natura","3.530.300","12,08","-0,98%"
"BHIA3","Casas Bahia","3.514.900","3,32","-4,05%"
"ENGI11","Energisa","3.050.700","37,58","+1,05%"
"ALOS3","Allos","3.027.800","17,96","-0,72%"
"SRNA3","Serena Energia","3.013.400","6,28","+3,12%"
"QUAL3","Qualicorp","2.984.400","1,68","-1,75%"
"JHSF3","JHSF","2.954.900","3,69","+0,27%"
"TOTS3","Totvs","2.924.600","29,91","+2,29%"
"HBSA3","Hidrovias do Brasil","2.881.500","2,85","+0,00%"
"ISAE4","ISA Energia","2.877.900","22,94","-0,74%"
"STBP3","Santos Brasil","2.818.300","13,15","+0,00%"
"UGPA3","Ultrapar","2.779.500","16,08","-0,50%"
"TAEE11","Taesa","2.764.900","31,80","-1,09%"
"SUZB3","Suzano","2.748.800","62,76","+0,02%"
"VVEO3","Viveo","2.723.400","1,76","-2,76%"
"BRKM5","Braskem","2.533.800","14,44","-0,62%"
"GGPS3","GPS","2.493.100","14,26","+0,99%"
"KLBN11","Klabin","2.476.200","22,06","+0,23%"
"ECOR3","EcoRodovias","2.351.700","4,85","+0,41%"
"VIVA3","Vivara","2.335.900","20,24","+1,05%"
"RAPT4","Randon","2.244.000","8,83","+3,03%"
"TEND3","Construtora Tenda","2.165.500","12,48","+2,30%"
"INTB3","Intelbras","2.120.900","13,53","+2,50%"
"CSED3","Cruzeiro do Sul Educacional","2.108.800","3,22","+0,31%"
"BRAP4","Bradespar","2.082.200","16,30","+0,43%"
"MULT3","Multiplan","2.074.500","20,81","-0,53%"
"MLAS3","Multilaser","2.042.500","1,09","+0,00%"
"SANB11","Banco Santander","2.033.300","24,84","+1,06%"
"IRBR3","IRB Brasil RE","1.969.400","49,60","-2,30%"
"DIRR3","Direcional","1.942.100","26,76","+2,84%"
"AMER3","Americanas","1.895.500","6,35","-0,78%"
"RCSL4","Recrusul","1.894.400","0,69","-2,82%"
"DXCO3","Dexco","1.832.600","5,92","-2,15%"
"SMTO3","São Martinho","1.816.200","22,69","+0,00%"
"CBAV3","CBA","1.760.400","5,06","-0,39%"
"IGTI11","Jereissati Participações","1.755.200","17,03","-1,22%"
"IGTI11","Iguatemi","1.755.200","17,03","-1,22%"
"EVEN3","Even","1.661.700","5,66","+0,53%"
"RECV3","PetroRecôncavo","1.644.100","15,68","-0,82%"
"SBFG3","Grupo SBF","1.634.100","10,64","+0,76%"
"AZEV3","Azevedo & Travassos","1.604.400","1,23","+7,89%"
"PGMN3","Pague Menos","1.598.700","3,06","-1,61%"
"OIBR3","Oi","1.544.900","1,55","+1,97%"
"ALPA4","Alpargatas","1.513.600","6,13","+1,32%"
"CURY3","Cury","1.490.400","20,40","+2,00%"
"SMFT3","Smart Fit","1.261.000","18,68","+0,48%"
"EZTC3","EZTEC","1.221.700","11,42","+1,06%"
